@relation whatever
@attribute difGenRatio {1,0,2}
@attribute difGen {1,0,2}
@attribute leakingAllocation {1,2,0}
@attribute upTime {1,2,0}
@attribute liveObjectsDifGenRatio {2,1,0}
@attribute difGenUniformity {2,1,0}
@attribute difGenTrendDirection {2,1,0}
@attribute difGenTrendConsistency {0,2,1}
@attribute leakToExpert {0,1}
@data 
1,2,1,1,0,2,1,1,0
1,0,1,1,2,2,1,1,0
1,0,2,1,0,2,1,0,0
0,0,2,2,0,0,1,0,0
0,0,2,0,0,0,1,0,0
1,1,2,1,1,2,2,0,0
0,0,2,1,0,2,0,1,0
1,1,1,2,0,2,1,2,0
1,0,2,0,0,2,1,2,0
2,2,1,0,2,2,1,2,0
1,2,1,2,1,1,1,2,0
1,0,2,2,0,2,1,0,1
1,0,1,0,2,2,1,2,0
2,2,0,2,1,0,1,1,1
1,2,2,2,2,2,2,1,0
1,2,2,1,1,1,2,0,0
2,0,1,0,0,2,0,0,0
1,2,1,2,1,0,2,0,1
0,0,2,1,0,1,0,1,0
1,1,2,2,1,2,2,2,0
1,2,2,2,1,2,2,1,0
1,0,1,2,1,2,2,1,0
1,2,1,0,0,2,1,2,0
0,0,2,0,2,2,2,2,0
1,2,1,0,1,2,1,2,1
0,0,2,0,2,2,1,0,0
2,2,2,1,1,0,2,1,1
2,2,0,2,0,0,1,1,1
1,2,1,2,2,2,0,0,1
1,2,2,1,1,2,1,0,0
1,2,1,1,2,2,2,0,0
1,0,1,2,2,2,1,1,0
1,2,1,0,2,2,1,2,1
0,0,2,0,0,0,0,0,0
1,0,2,0,2,2,1,1,0
1,0,0,2,1,2,0,0,0
1,0,2,1,1,2,2,2,0
1,0,2,1,0,2,1,1,0
0,0,0,1,1,2,1,2,0
1,2,1,2,1,2,0,0,0
0,0,1,1,0,2,0,2,0
1,1,1,2,2,2,1,2,0
0,0,2,2,1,2,0,0,0
0,0,2,1,0,2,1,2,0
2,2,0,1,2,0,1,2,1
1,1,1,1,0,2,1,0,0
1,0,1,2,1,2,1,2,0
2,2,0,2,1,0,2,0,1
2,2,1,0,1,0,1,0,1
1,2,2,1,1,1,1,2,1
0,0,2,0,1,2,1,1,0
1,0,2,2,1,2,0,2,0
1,2,1,0,2,2,1,1,0
1,0,1,2,2,2,2,0,0
0,0,2,1,1,2,1,2,0
1,1,1,0,2,2,1,1,0
1,0,1,1,1,2,0,0,0
0,0,1,2,1,2,1,2,0
1,2,2,2,0,2,1,0,0
1,2,1,2,1,2,2,2,0
1,2,1,0,1,2,1,1,0
1,1,1,2,1,2,2,1,1
1,0,2,2,1,2,2,1,0
1,0,1,0,0,2,1,0,0
1,0,2,2,0,2,2,1,0
0,0,2,1,2,2,1,2,0
1,0,1,0,1,2,0,1,0
1,1,1,1,2,2,2,0,0
1,2,1,1,0,2,2,0,0
1,2,1,2,1,1,0,0,1
1,0,1,2,0,2,2,1,0
1,2,2,1,1,1,2,1,1
2,2,0,1,2,1,1,2,1
0,0,1,2,0,2,1,2,0
1,1,1,1,1,2,0,0,0
1,0,1,1,1,2,2,2,0
0,0,2,2,2,2,2,2,0
1,0,2,0,1,2,2,0,0
0,0,2,2,0,2,2,0,0
1,0,2,0,1,2,1,1,0
1,0,1,0,0,2,2,0,0
1,1,1,2,0,2,2,1,0
1,2,1,2,0,2,0,0,0
0,0,2,0,0,2,1,1,0
1,0,1,2,0,2,1,2,0
0,0,2,2,2,2,0,0,0
1,2,1,1,1,1,2,0,0
0,0,1,0,1,2,0,0,0
2,2,1,0,1,2,1,1,0
1,1,0,0,2,2,1,2,0
2,2,0,2,0,0,2,0,1
0,0,1,0,1,0,1,2,0
2,1,2,0,2,1,1,2,0
1,0,2,2,2,2,0,0,1
0,0,2,2,0,1,2,2,0
1,1,1,2,0,2,0,0,0
2,2,0,2,2,2,1,2,1
1,0,2,0,0,2,0,0,0
0,0,2,2,1,2,2,2,0
2,1,1,0,0,2,1,2,0
1,1,2,1,1,2,0,0,0
1,1,2,2,0,2,0,1,0
0,0,1,1,1,2,0,1,0
2,2,1,0,1,0,1,2,1
0,0,2,1,2,2,2,2,0
1,2,1,1,1,1,0,0,0
0,0,1,1,0,0,1,0,0
2,2,0,2,1,2,0,0,1
1,0,1,0,1,2,1,2,0
1,0,1,0,0,2,0,0,0
2,2,0,0,2,1,1,1,0
1,1,2,1,1,2,1,0,0
2,2,1,0,0,0,1,2,1
2,2,0,2,2,2,0,0,1
1,1,1,2,1,2,2,0,0
1,0,0,0,2,2,1,2,0
1,1,2,2,1,2,2,0,0
0,0,2,2,2,2,1,0,0
1,0,1,0,0,2,1,2,0
1,2,2,2,1,2,1,2,0
1,2,1,2,2,2,2,1,0
2,2,0,1,1,0,0,0,1
0,0,2,1,1,2,2,1,0
1,1,2,0,2,2,2,2,0
1,1,1,0,2,2,2,0,0
1,0,2,2,1,2,0,0,0
1,1,2,2,2,2,0,0,1
1,0,1,1,1,2,1,2,0
1,1,2,2,1,2,0,1,0
2,2,0,0,1,1,1,2,1
0,0,2,1,2,1,0,0,0
1,0,1,1,2,2,0,0,0
0,0,1,2,2,0,0,0,0
0,0,0,2,0,2,0,2,0
0,0,2,1,1,2,0,0,0
2,2,0,0,2,0,1,2,1
1,1,2,0,1,2,1,2,0
2,2,0,0,2,1,1,2,1
0,0,2,1,0,0,1,2,0
1,0,2,2,2,2,1,1,0
1,2,1,2,1,2,1,0,0
1,0,0,0,1,2,1,2,0
2,2,0,0,1,0,1,2,1
1,2,1,2,2,1,2,0,0
1,0,0,0,0,2,1,2,0
0,0,2,1,2,2,0,0,0
2,1,0,0,2,2,1,2,1
1,2,1,2,0,2,1,0,0
1,0,1,1,2,2,2,0,0
1,1,2,0,0,2,1,2,0
1,2,2,1,1,2,1,2,0
1,2,1,2,0,2,2,2,0
0,0,1,2,0,2,1,0,0
1,2,1,1,1,2,1,1,0
1,2,1,2,1,0,2,2,1
1,0,1,1,0,2,0,1,0
0,0,1,2,0,0,0,1,0
1,2,1,1,2,1,0,0,0
1,1,1,2,2,2,0,0,0
1,2,1,2,1,1,2,1,0
1,1,2,2,0,2,1,2,1
1,0,1,1,0,2,2,0,0
0,0,2,1,1,1,0,0,0
1,1,2,2,2,2,1,1,0
2,2,0,0,2,2,2,2,1
0,0,2,0,1,0,0,0,0
1,2,2,2,0,2,1,2,0
2,2,0,2,2,0,1,1,1
1,0,2,2,0,2,0,0,0
1,1,1,1,0,2,2,2,0
1,2,2,1,2,2,1,1,0
1,1,2,1,0,2,0,0,0
0,0,2,2,0,2,2,2,0
2,2,2,1,0,2,1,2,0
1,2,2,2,1,2,0,0,0
1,1,1,0,1,2,1,0,0
0,0,1,0,0,2,2,2,0
1,2,1,1,2,1,2,1,0
0,0,2,2,0,2,1,1,0
1,2,0,2,2,2,1,0,1
2,1,2,2,2,2,0,0,0
1,2,0,0,1,1,1,2,0
1,2,0,0,2,2,1,2,0
1,0,1,0,0,2,2,2,0
1,0,1,2,2,2,0,1,0
1,1,1,0,0,2,2,1,0
0,0,2,1,0,2,2,1,0
1,2,1,0,2,1,1,2,0
1,2,0,0,1,2,1,2,0
2,1,2,0,1,2,1,2,0
0,0,2,1,2,0,0,0,0
1,2,0,2,1,2,1,0,0
1,2,0,2,2,1,1,0,1
1,2,1,2,2,2,1,1,1
1,0,1,1,1,2,2,0,0
1,2,1,1,2,2,1,0,0
0,0,1,1,0,0,1,1,0
1,1,2,2,1,2,1,0,0
1,2,2,2,0,2,2,0,0
1,2,1,2,1,1,2,2,0
1,2,2,2,0,0,0,0,1
1,0,2,2,1,2,1,1,0
0,0,2,2,0,2,0,2,0
1,1,1,0,1,2,1,1,0
0,0,1,2,1,2,0,2,0
1,1,1,1,0,2,1,2,0
1,0,1,1,2,2,2,1,0
1,1,1,2,1,2,2,2,0
1,1,1,0,0,2,1,2,0
0,0,1,2,1,0,0,0,0
0,0,1,0,0,2,1,2,0
2,2,2,1,2,2,2,1,1
0,0,1,1,1,2,1,2,0
1,2,1,1,0,1,2,1,0
1,0,2,2,2,2,1,0,0
1,2,1,1,0,2,1,0,0
1,0,1,2,2,2,2,2,0
1,0,2,2,0,2,0,0,1
1,2,1,1,0,2,0,0,0
1,0,1,0,1,2,2,1,0
1,2,2,2,1,2,0,1,0
1,0,2,0,2,2,2,2,0
0,0,2,0,2,2,0,0,0
1,1,2,1,2,2,1,2,0
0,0,2,2,1,2,1,1,0
0,0,2,1,1,2,0,2,0
1,2,1,2,2,2,1,0,0
0,0,1,2,0,1,0,0,0
1,0,1,1,0,2,2,1,0
0,0,1,1,1,0,2,1,0
2,2,0,2,1,1,0,0,0
0,0,1,0,2,2,1,1,0
0,0,1,1,1,2,2,2,0
1,2,2,2,2,2,0,0,0
0,0,2,2,1,0,0,0,0
1,0,2,0,1,2,2,2,0
0,0,2,0,2,1,1,2,0
1,2,1,2,0,2,1,1,0
1,1,2,0,2,2,0,0,0
0,0,1,0,0,2,2,1,0
2,1,1,1,1,2,1,2,0
1,0,2,2,0,2,1,1,0
0,0,1,2,0,2,0,2,0
1,1,2,1,0,2,2,0,0
2,2,1,0,2,2,1,2,1
1,1,1,1,1,2,2,1,0
0,0,2,2,0,0,0,0,0
1,2,1,1,1,1,1,0,0
1,2,1,2,1,2,1,1,0
1,2,2,1,1,2,0,0,0
1,1,1,0,2,2,0,0,0
1,0,1,1,0,2,1,2,0
0,0,1,1,2,2,1,2,0
0,0,1,2,0,0,1,2,0
1,2,1,2,2,1,2,1,0
0,0,2,2,1,2,0,2,0
0,0,1,2,0,0,0,0,0
0,0,0,2,0,0,0,2,0
1,1,1,1,0,2,0,0,0
1,0,1,2,1,2,0,1,0
0,0,2,1,1,0,0,0,0
1,0,2,2,1,2,0,0,1
1,2,2,2,0,2,0,1,0
1,2,1,2,1,1,1,1,1
1,0,1,0,2,2,2,1,0
0,0,1,2,0,2,2,1,0
0,0,2,0,2,2,1,2,0
0,0,2,2,0,1,0,2,0
1,1,1,1,1,2,1,1,0
0,0,1,1,0,2,1,2,0
1,1,1,0,0,2,0,0,0
1,1,1,1,2,2,1,0,0
1,0,1,1,1,2,1,1,0
1,2,1,0,1,1,1,2,0
1,1,2,2,0,2,1,1,0
1,2,1,2,1,1,1,0,0
2,0,1,0,1,2,1,2,0
1,0,1,1,2,2,1,2,0
1,2,1,1,1,2,2,0,0
1,1,1,2,1,2,0,0,0
1,2,1,0,0,2,0,0,0
2,2,2,0,1,0,1,2,1
0,0,1,0,0,0,1,2,0
1,1,1,0,1,2,2,0,0
1,2,1,2,1,1,2,0,1
1,0,1,2,1,2,1,1,0
2,2,2,1,2,0,2,0,1
1,2,1,1,2,2,1,2,0
0,0,0,1,0,2,0,0,0
0,0,1,1,0,2,2,1,0
0,0,2,2,1,2,2,0,0
1,0,2,1,2,2,2,1,0
0,0,2,2,0,2,0,0,0
0,0,2,2,2,2,2,0,0
2,2,0,2,2,1,1,0,1
2,2,0,2,1,1,1,0,1
0,0,1,2,1,2,2,1,0
2,0,2,1,0,2,1,2,0
2,1,1,1,0,2,1,1,0
1,2,1,2,0,2,2,0,0
2,0,2,2,2,2,0,0,0
0,0,2,0,0,0,1,1,0
1,0,1,2,0,2,0,1,0
1,2,2,1,1,2,2,1,0
1,0,2,1,2,2,1,1,0
1,2,1,2,0,0,0,0,1
1,1,2,1,1,2,1,2,0
1,0,1,2,0,2,1,1,0
1,1,2,2,1,2,1,2,0
1,1,1,2,0,2,2,0,0
0,0,1,1,0,2,0,0,0
1,2,2,2,1,2,1,1,1
1,2,2,2,2,2,2,0,0
0,0,2,2,2,0,0,0,0
1,2,2,2,2,2,2,1,1
1,2,1,2,1,0,0,0,1
1,1,2,2,2,2,0,1,0
1,2,1,1,1,1,1,2,0
0,0,2,0,0,1,1,1,0
2,0,2,1,2,2,1,2,0
1,2,1,2,2,2,1,2,0
0,0,1,1,2,2,0,0,0
1,0,1,1,0,2,1,0,0
0,0,2,1,2,2,1,1,0
2,1,2,2,0,2,0,0,0
2,1,2,2,1,2,0,0,0
1,1,2,1,2,2,1,0,0
0,0,2,2,1,1,0,0,0
1,0,2,2,2,2,0,1,0
0,0,2,2,2,2,0,2,0
0,0,1,2,1,2,0,0,0
1,2,2,2,1,2,1,0,0
2,0,2,1,1,2,1,2,0
0,0,1,2,0,2,0,0,0
1,1,2,1,2,2,2,1,0
0,0,2,1,1,2,1,1,0
0,0,2,0,0,2,0,1,0
0,0,2,2,2,1,0,0,0
1,0,2,1,1,2,2,1,0
1,2,2,2,1,2,2,1,1
1,2,2,2,2,2,1,0,0
2,0,0,0,2,2,1,2,0
0,0,1,0,0,2,0,0,0
1,2,2,1,2,2,2,0,0
0,0,2,2,0,1,0,0,0
1,0,2,1,1,2,0,1,0
1,1,2,1,0,2,1,1,0
1,2,2,2,1,2,2,0,0
1,0,2,2,0,2,0,2,0
0,0,2,0,0,2,2,0,0
1,2,2,2,0,1,0,1,0
2,2,0,2,1,0,1,0,1
1,2,1,2,1,2,2,0,0
1,0,2,1,1,2,1,1,0
2,2,0,2,1,0,1,2,1
0,0,1,1,0,0,2,1,0
1,0,1,0,2,2,1,1,0
2,2,1,0,1,0,1,1,1
1,1,2,0,0,2,0,0,0
1,1,1,0,1,2,2,1,0
0,0,2,1,0,1,0,0,0
2,1,2,0,1,1,1,2,0
1,2,2,2,1,1,2,0,0
0,0,2,1,0,2,0,2,0
1,2,2,2,0,2,0,0,1
0,0,2,2,1,2,2,1,0
1,2,2,2,0,2,1,2,1
0,0,1,2,2,2,1,0,0
1,2,2,2,2,2,2,2,0
0,0,2,2,2,2,2,1,0
2,1,2,0,1,0,1,2,0
0,0,1,1,1,2,0,0,0
2,2,2,1,1,0,2,0,1
0,0,2,0,0,0,0,1,0
1,1,2,2,1,2,2,1,0
1,1,2,0,1,2,0,0,0
1,2,2,2,2,1,2,0,0
1,1,1,2,0,2,1,1,0
1,0,2,2,0,2,0,1,0
1,2,2,2,1,2,0,0,1
1,2,2,2,2,2,1,1,0
2,2,1,0,2,0,1,2,1
0,0,2,0,1,0,1,0,0
1,1,1,2,0,2,2,2,0
0,0,1,2,0,0,0,2,0
1,1,2,2,2,2,1,0,0
0,0,2,2,0,2,2,1,0
1,0,2,0,1,2,1,0,0
2,2,0,0,0,1,1,1,1
1,2,1,1,1,2,0,0,0
0,0,2,0,0,2,1,0,0
2,2,0,2,1,1,1,2,1
1,2,1,2,1,2,2,1,0
1,1,2,0,1,2,1,1,0
1,0,1,1,1,2,0,1,0
1,2,2,2,0,2,1,1,0
1,1,2,2,2,2,2,0,1
1,1,1,2,2,2,2,2,0
1,0,2,1,1,2,1,2,0
1,2,2,1,1,2,2,1,1
0,0,2,0,2,2,0,2,0
1,2,1,0,0,0,1,2,1
1,1,1,2,0,2,0,0,1
1,0,2,1,0,2,2,1,0
0,0,1,0,1,2,0,1,0
2,2,0,2,2,2,1,2,0
0,0,0,2,0,2,0,1,0
1,0,2,1,0,2,1,2,0
1,0,1,2,0,2,2,0,0
1,1,1,0,2,2,1,2,0
1,2,1,2,1,1,2,0,0
1,2,1,2,0,2,2,1,0
2,1,1,0,1,2,1,2,0
1,0,2,2,1,2,2,2,0
1,0,2,2,2,2,0,0,0
1,0,1,0,0,2,1,1,0
1,0,2,2,0,2,2,2,0
1,0,1,0,1,2,0,0,0
0,0,1,1,0,2,0,1,0
1,2,2,2,1,1,1,2,1
0,0,2,1,0,2,1,1,0
2,1,1,0,2,2,1,2,0
1,2,1,1,2,1,1,1,0
1,2,1,1,2,2,2,1,0
0,0,2,2,0,0,1,2,0
1,0,1,0,1,2,1,1,0
1,1,1,1,2,2,2,1,0
1,2,2,2,1,2,1,1,0
2,2,0,0,1,1,1,1,1
1,0,1,2,2,2,1,0,0
1,2,1,1,1,2,2,2,0
1,2,1,2,2,2,2,0,0
1,1,2,1,1,2,1,1,0
1,2,1,1,2,2,0,0,0
1,1,2,2,1,2,0,0,0
2,0,2,2,1,2,0,0,0
1,1,1,2,1,2,1,2,0
0,0,2,0,2,0,0,0,0
2,2,0,1,1,0,1,0,1
0,0,2,1,0,0,0,0,0
1,0,2,2,1,2,0,1,0
1,0,1,1,2,2,0,1,0
1,0,2,1,2,2,1,2,0
1,1,2,0,2,2,2,1,0
0,0,2,1,0,2,2,0,0
1,1,1,1,2,2,1,2,0
1,2,2,0,0,2,1,2,0
1,2,2,1,2,2,1,0,0
2,2,0,1,2,0,2,0,1
1,0,1,0,0,2,2,1,0
1,1,1,1,2,2,0,0,0
1,1,1,2,1,2,2,1,0
1,1,2,2,0,1,0,0,0
1,0,1,2,2,2,1,2,0
1,1,2,1,1,2,2,1,0
1,2,2,2,1,2,2,2,0
2,2,0,1,1,0,2,0,1
2,2,0,2,1,0,0,0,1
2,2,0,1,2,2,1,2,0
0,0,2,1,2,2,0,1,0
1,0,2,1,2,2,0,0,0
2,2,0,2,0,2,1,2,0
2,2,0,2,0,1,0,0,1
1,0,1,0,2,2,2,0,0
1,0,2,0,1,2,1,2,0
1,2,1,1,1,1,2,1,0
1,0,1,2,1,2,2,0,0
1,2,1,1,1,2,1,0,0
1,2,1,0,0,2,1,2,1
1,2,2,0,1,2,1,2,0
1,0,2,0,2,2,0,0,0
2,2,0,2,2,1,0,0,1
2,2,0,0,2,2,1,2,0
2,2,0,1,1,2,1,0,1
1,0,0,0,0,2,2,2,0
2,1,0,1,2,2,1,2,0
1,1,2,2,0,2,0,0,0
0,0,1,2,0,0,2,1,0
1,2,1,2,0,2,0,0,1
1,1,2,2,2,2,1,2,0
0,0,2,0,1,2,1,0,0
0,0,2,0,2,1,0,0,0
1,1,2,0,2,2,1,2,0
1,1,0,0,1,2,1,2,0
2,2,1,0,1,2,1,2,0
1,0,2,2,1,2,2,0,0
1,0,2,2,2,2,1,2,0
0,0,2,2,0,0,0,2,0
1,2,1,1,0,2,2,1,0
0,0,1,1,1,2,2,1,0
1,2,2,1,1,1,1,2,0
1,1,2,0,0,1,1,2,0
0,0,2,0,1,2,2,2,0
0,0,2,0,2,0,1,2,0
2,0,1,0,2,2,1,2,0
0,0,2,1,1,2,0,1,0
1,0,2,1,0,2,0,0,0
1,0,1,0,1,2,2,0,0
1,2,1,1,1,0,2,1,0
1,1,2,0,1,1,1,2,0
2,2,0,2,1,2,1,2,0
1,2,2,2,1,1,0,0,1
1,0,1,1,0,2,0,0,0
1,2,1,2,1,2,0,0,1
1,1,2,1,2,2,0,0,0
1,0,2,0,2,2,1,2,0
1,2,2,2,0,1,0,0,1
1,1,1,1,0,2,1,1,0
0,0,1,0,0,2,1,1,0
1,2,2,2,1,0,0,0,1
2,2,0,0,2,1,2,0,0
2,2,0,2,1,1,0,0,1
0,0,2,0,0,2,2,2,0
0,0,2,1,1,2,2,0,0
